Type_of_event,Distance,Warranty,Participants,Preference,Profession,Age,show_up_Rate
10,0,50,1000,9,1,52,70
7,100,5,10000,8,3,78,75
10,1000,1,1000,11,3,40,60
10,50,1,10,8,3,104,95
11,10,5,1,7,4,44,95
8,200,1000,20,8,1,23,60
10,500,10,5,7,1,21,75
8,200,1000,1,11,3,46,65
7,50,500,1,9,3,38,75
7,50,500,20,7,4,79,70
11,10,200,10,7,3,67,80
10,500,10,10000,7,4,0,60
7,10,1000,5,7,2,9,75
11,0,200,10000,9,4,67,60
10,300,1000,20,7,4,64,55
8,800,10,20,9,3,17,75
10,800,100,20,7,1,30,60
11,500,100,50,8,4,81,55
9,800,1000,200,8,3,32,35
10,500,100,20,9,4,32,65
8,1000,200,5,11,3,53,55
9,50,200,1,7,2,72,75
11,500,20,200,7,4,52,60
11,500,5,10000,11,3,21,65
10,1000,20,1000,7,3,30,55
11,800,20,10,11,1,76,75
9,500,20,50,10,2,53,65
10,1000,1000,50,10,3,56,45
10,0,10,50,10,4,23,85
8,300,20,1,10,2,73,80
7,200,10,20,11,3,74,90
11,10,1000,50,7,3,27,65
8,500,100,50,9,3,67,60
7,800,100,10,9,2,7,65
9,300,200,20,8,3,78,65
10,0,10000,50,8,3,32,65
7,500,5,5,8,1,17,75
7,500,1,200,8,3,44,65
10,20,50,10000,9,1,55,70
11,10,10,200,10,3,15,80
9,10,20,10,9,4,5,95
11,10,10000,200,9,1,56,50
7,20,500,1,9,2,11,70
10,500,10000,20,9,3,12,55
9,200,1000,50,10,3,2,55
10,500,10,5,8,1,43,75
9,10,1,10,7,1,52,90
10,1000,50,50,10,3,4,65
8,50,20,20,8,3,21,95
9,800,10000,1000,9,4,26,35
10,1000,1,5,9,4,9,70
11,200,10,1,8,3,52,90
9,20,50,50,10,3,5,85
7,200,20,10000,7,2,27,75
10,20,100,10,7,1,4,80
10,200,10,1000,8,4,34,70
9,50,10,50,11,2,25,85
9,1000,10,20,11,2,49,70
8,0,500,20,7,3,53,70
10,1000,5,10000,10,3,25,60
9,50,10000,20,9,4,10,70
10,1000,10,20,8,1,57,65
8,500,200,50,8,3,2,55
8,0,5,1,11,4,56,95
9,0,1000,200,9,4,26,55
7,1000,20,10000,9,1,16,50
7,50,10000,50,8,2,0,60
11,800,20,200,8,4,31,55
7,1000,5,1,11,3,96,75
8,20,10000,5,7,4,60,70
9,100,10000,20,7,2,80,65
10,200,100,1000,8,1,12,55
8,300,20,5,10,3,10,85
7,100,1,10,10,3,87,95
10,300,1,5,9,2,77,85
11,100,10,1000,10,3,69,75
8,20,500,10,7,3,55,75
9,50,100,1000,8,1,57,60
10,500,500,10,7,3,76,60
8,500,1000,20,9,2,73,50
7,500,20,1,8,4,0,75
10,0,500,20,11,1,64,65
9,500,1000,10,8,2,62,55
10,300,500,5,11,1,80,55
9,800,200,10000,9,4,33,40
7,100,200,10,11,2,5,75
9,300,200,5,9,3,13,70
10,20,50,1,11,1,52,85
10,50,5,1,7,4,32,90
8,800,20,200,8,2,53,60
8,300,10,10000,9,3,32,70
10,200,20,1000,7,4,50,70
9,50,1000,10000,8,1,61,45
7,10,20,1000,7,4,1,80
9,500,100,5,10,3,10,70
9,500,5,1000,7,2,73,60
9,1000,100,200,8,4,32,45
7,50,5,5,10,2,89,95
10,10,5,50,10,4,0,85
10,300,1,1000,8,2,0,65
11,0,1,10000,8,4,26,75
8,100,100,10,8,1,33,80
11,800,10000,1000,11,1,87,30
11,0,50,1000,11,1,81,75
9,100,5,10000,7,2,97,75
10,50,10,10000,9,4,89,75
8,1000,10000,50,8,1,42,35
8,10,100,5,7,2,81,85
11,200,500,10,9,3,30,65
10,10,1000,50,9,4,50,60
11,100,500,50,10,2,48,60
11,200,1000,10000,9,2,63,45
11,1000,20,5,9,1,77,65
8,800,20,10,7,4,20,70
11,300,100,1,8,3,48,75
7,300,10000,1,8,1,40,55
7,100,50,10,10,2,32,90
11,1000,100,5,9,4,35,60
7,10,1000,1,10,1,10,65
10,800,100,50,10,2,90,60
11,0,50,5,8,2,16,90
10,500,10000,1000,8,4,83,35
9,20,100,50,11,4,30,75
11,0,10,50,10,3,55,90
8,20,10,1000,8,3,61,85
8,0,5,20,8,3,42,100
8,200,1,5,10,4,13,85
11,100,1000,200,11,2,0,55
9,300,20,10,9,1,14,80
8,50,10,5,10,2,2,95
8,20,1000,200,11,1,64,50
8,20,5,50,9,2,18,85
7,800,1,200,7,2,26,60
11,20,1000,1,7,1,49,65
9,200,200,200,7,3,39,55
8,200,20,10000,7,1,29,65
10,300,200,50,7,3,20,55
10,100,1000,20,7,2,53,65
8,800,500,20,10,2,33,50
10,10,500,20,11,1,49,65
9,800,500,5,10,4,24,50
7,300,20,50,8,4,63,70
8,20,100,5,10,4,51,85
7,800,20,1000,10,2,27,55
8,500,1000,10000,10,2,89,35
8,0,1,10000,10,1,20,75
11,500,10000,50,10,2,50,45
9,200,500,5,10,4,57,65
10,0,1,10,8,4,41,95
10,800,100,5,10,3,58,70
9,20,500,10000,11,4,28,50
9,50,10000,10000,7,3,23,55
7,500,5,1000,9,3,39,65
11,0,10,50,11,4,131,85
11,20,10,50,7,2,30,85
10,0,200,50,11,4,24,65
11,20,50,50,10,1,25,75
9,10,10000,5,9,3,28,75
10,20,100,1000,8,3,30,70
11,800,500,5,10,2,31,50
8,10,50,5,9,2,87,90
10,100,10,10,10,2,80,95
10,200,100,1,7,1,49,75
8,300,1000,10,10,4,52,55
7,200,10000,200,11,1,24,40
9,200,1,1,8,4,35,85
10,10,1000,1000,9,2,58,55
10,500,50,5,11,3,47,80
11,20,500,1,11,3,55,80
8,200,20,1000,10,4,83,70
10,200,100,50,8,2,41,70
9,800,100,20,8,3,50,65
10,500,200,10,10,3,38,65
8,20,10,200,9,1,76,75
11,50,200,50,11,1,56,65
7,1000,100,200,11,2,33,45
11,50,5,1,11,1,6,95
8,300,200,5,10,1,58,60
11,800,100,1000,11,3,31,55
10,200,500,1000,11,1,70,45
8,200,50,5,8,2,15,90
7,20,20,10,9,2,20,95
11,1000,50,1,10,4,14,70
8,1000,10000,1,10,4,52,45
9,1000,1,1,11,4,23,70
9,200,200,1000,10,4,41,50
10,1000,50,10,7,4,29,70
8,200,1000,10,10,3,31,65
8,20,500,5,7,2,46,70
7,1000,10000,10000,10,1,93,25
7,100,10,1,9,2,59,90
11,200,20,1000,11,2,22,75
10,20,100,5,9,1,60,80
10,1000,50,5,11,3,48,75
8,200,10000,1,10,1,55,60
8,800,200,1,7,3,82,60
7,100,1000,10000,7,3,0,55
7,100,20,200,11,2,16,75
10,800,50,1,9,4,67,70
7,300,500,5,10,3,38,65
9,500,1,200,8,4,67,60
7,800,20,5,8,4,33,70
9,100,100,10000,11,4,20,65
11,0,10000,10,10,3,38,75
9,800,100,200,9,2,30,55
9,800,50,50,9,1,71,60
7,100,10,20,8,1,11,85
7,200,100,1,8,3,35,80
11,50,20,1000,9,3,10,80
9,10,5,200,10,1,20,75
9,50,20,10,7,2,44,90
7,100,500,20,10,2,46,65
8,100,10,1000,11,1,9,70
11,200,200,10000,11,4,30,55
9,1000,20,200,8,4,45,55
8,200,10,200,7,1,94,65
11,200,100,200,9,4,51,60
8,800,10000,200,11,2,46,35
10,300,1,20,8,2,96,80
11,100,5,10,10,4,67,90
11,1000,50,20,11,4,53,70
8,10,100,10,10,1,30,80
7,500,5,1,10,4,54,75
10,1000,5,20,9,1,53,65
7,200,200,1,10,1,131,65
9,10,20,200,7,2,56,80
10,20,500,50,7,2,14,60
7,300,5,10,9,1,26,80
7,500,10000,200,8,4,69,35
11,100,50,20,11,4,22,90
8,200,20,20,11,1,80,80
7,500,1000,200,10,3,5,40
9,100,500,10000,7,4,54,50
8,300,5,20,11,2,5,80
10,10,10,5,7,2,36,95
11,50,1,20,9,1,67,85
10,300,500,20,8,1,38,55
11,10,100,200,7,1,23,65
9,500,1,200,9,4,5,65
8,100,20,1000,7,1,32,70
9,20,50,10,9,3,31,100
11,1000,50,50,11,1,95,60
8,500,20,200,8,3,0,70
8,300,200,50,8,1,97,55
10,300,10000,1000,8,3,5,45
7,1000,100,200,7,1,33,45
7,800,20,1000,8,2,24,55
7,1000,5,1,9,3,5,75
8,300,500,20,8,4,54,60
8,500,5,10,11,1,72,75
10,0,10,200,8,2,41,80
8,200,1000,20,7,2,10,60
8,20,10,20,9,1,14,85
10,20,1000,50,11,4,14,60
8,300,10,20,9,3,1,85
9,500,10,1000,7,4,53,60
10,0,10,10,7,4,10,95
8,10,5,1000,10,2,46,75
8,500,100,1000,7,1,53,45
11,300,1,1,8,1,15,80
11,1000,5,50,8,2,50,60
11,800,1,10000,8,3,11,60
8,300,10000,1,9,4,38,55
7,20,10,1,7,2,7,100
9,500,100,10,7,1,55,65
9,500,10,50,10,2,50,70
9,20,200,10,9,1,13,75
10,10,100,5,7,3,81,90
7,50,50,50,9,1,81,75
7,300,1000,1000,7,3,16,50
11,10,1,20,11,1,26,90
9,1000,100,200,8,3,35,50
7,50,50,10000,7,2,114,75
11,0,500,10,8,1,36,65
10,20,10,1000,11,3,62,80
7,800,10000,10,10,2,67,50
9,1000,10,20,10,1,26,65
7,100,200,1,11,2,49,75
7,300,1,10,7,1,66,80
10,800,50,200,8,4,61,55
11,800,20,20,7,1,58,65
11,100,50,10,11,1,14,85
8,500,10000,200,9,4,64,35
8,1000,5,5,9,2,94,70
9,100,20,50,10,1,78,75
10,20,1000,20,8,4,31,65
8,0,5,200,7,2,77,80
10,100,5,10000,8,1,31,70
7,0,5,10000,8,4,75,75
7,100,500,20,10,1,41,60
11,10,10,10000,8,3,26,80
10,1000,1,20,10,2,27,75
8,200,500,10,10,1,92,60
10,100,200,10000,7,3,42,60
8,100,20,200,10,1,10,70
10,200,50,200,8,3,58,70
9,20,1000,10,7,4,67,70
8,1000,10000,200,10,4,11,30
9,800,10,1000,7,2,14,55
10,200,10000,1000,9,4,30,45
9,500,1000,1000,8,4,8,35
7,0,20,10000,10,2,15,75
7,300,10,50,9,4,89,70
10,1000,1000,20,7,1,79,40
7,10,10,50,11,2,11,85
7,200,10,50,8,2,49,75
11,100,10000,20,10,2,47,65
11,50,1,10,8,1,30,90
7,300,5,10000,10,3,12,70
11,0,10,10,11,3,49,100
7,800,200,20,7,1,90,55
11,500,50,50,9,4,26,65
10,10,10000,10000,11,1,81,50
7,200,1,5,8,2,21,90
7,50,10,1000,9,1,35,70
7,800,20,10,7,2,56,80
7,50,20,5,10,3,39,95
10,500,100,50,8,2,107,60
10,200,50,50,11,4,26,75
9,200,50,10000,9,4,15,70
8,800,200,1000,10,1,52,35
11,50,500,1000,11,1,36,50
7,500,1,1000,10,3,23,65
11,100,5,1000,7,2,83,75
10,50,1000,10,10,1,41,70
9,0,50,200,10,1,17,70
11,20,50,5,11,4,3,95
11,20,10000,1000,9,4,94,50
9,10,10000,200,10,3,50,55
11,500,50,10000,8,1,15,55
9,1000,200,1,11,4,37,55
7,50,100,10000,9,3,10,70
10,100,100,10000,7,3,57,65
9,500,5,1,11,4,42,75
11,800,500,10,8,2,44,50
7,500,5,50,10,4,67,65
9,1000,200,10,11,2,65,55
8,10,1000,20,7,2,35,70
7,50,50,50,11,4,52,80
9,20,1000,10,10,3,43,75
10,200,10000,20,8,4,14,60
9,20,100,5,9,3,34,90
9,100,50,10000,9,1,78,70
7,200,200,5,10,2,7,70
10,200,10,200,7,3,28,75
8,800,500,50,7,1,5,35
7,1000,1000,10,8,3,35,50
9,100,100,10000,10,1,67,60
11,200,20,5,9,1,10,80
7,10,1,1,9,4,52,95
8,20,10,1,9,1,6,90
8,500,500,10,10,2,5,55
7,800,100,10000,9,4,26,45
7,1000,500,1,9,1,36,45
11,0,500,10000,8,4,13,55
11,800,20,5,8,3,8,75
7,800,50,1000,8,3,35,55
11,20,500,1,9,4,66,70
10,200,100,1,7,2,55,80
9,0,20,10,10,3,76,95
7,50,10,200,10,3,97,80
9,800,50,20,10,1,16,65
8,20,5,20,9,2,78,90
7,1000,1,50,8,3,22,65
9,10,1000,1000,11,3,66,55
8,50,10,20,8,3,11,95
9,1000,10000,200,9,1,34,30
8,20,20,20,9,2,29,90
10,0,200,50,9,4,50,65
7,800,1,10000,9,2,18,55
11,100,100,20,9,1,19,75
9,1000,100,10000,9,1,48,45
11,100,1,5,7,3,27,95
7,20,1000,20,7,1,38,65
10,100,5,1000,8,2,15,75
7,20,10000,10000,9,2,20,50
8,100,200,20,7,4,55,70
11,50,500,200,8,1,5,50
10,20,100,1000,11,1,47,65
11,1000,50,10000,11,4,32,55
9,1000,1,20,10,1,2,65
11,10,20,5,9,1,22,90
11,500,5,5,11,3,15,85
11,200,20,200,7,2,83,70
11,800,20,1,9,1,22,70
9,100,500,10000,8,4,24,50
9,20,1000,1000,11,3,14,55
10,800,100,20,9,4,39,60
9,10,20,20,9,3,48,100
7,50,200,20,11,3,30,75
10,0,1,200,8,2,26,80
9,300,500,1,11,3,27,65
9,0,10000,1000,10,4,25,50
9,50,10000,200,10,2,31,50
11,300,50,5,10,4,0,80
8,300,10,1,9,1,5,80
11,20,1000,200,11,1,18,55
8,50,10000,5,9,3,73,70
7,50,100,5,9,4,22,80
11,200,5,5,11,3,34,95
9,50,1000,1,11,3,17,70
7,1000,1000,1000,9,1,71,25
10,50,50,200,8,4,61,75
10,500,500,10,7,4,42,55
11,200,10000,10000,9,3,97,50
11,800,200,200,11,1,22,40
8,800,1,10000,7,3,58,60
9,500,10000,50,7,3,76,45
7,800,1,20,11,2,67,70
9,0,200,1000,10,4,50,60
11,100,1,1000,11,3,14,80
8,200,10000,1,11,4,3,60
7,0,5,1,7,2,20,100
8,300,1000,5,7,3,26,60
7,800,500,200,8,2,41,35
8,20,1000,50,11,3,38,65
11,10,1000,1000,9,2,20,55
9,800,200,50,7,4,14,45
9,1000,10,5,11,4,45,70
9,1000,10,1,10,3,47,75
7,100,1000,20,11,1,41,60
10,0,50,200,9,2,54,75
8,1000,50,200,7,2,50,55
7,10,10000,20,9,4,19,65
7,50,50,200,11,3,76,75
11,1000,10000,10,7,3,9,50
9,0,20,10000,9,4,56,80
8,200,10000,20,10,4,67,60
9,100,200,50,11,4,42,60
11,50,50,10,10,3,27,95
7,100,100,1000,7,3,34,70
8,100,50,50,8,2,56,80
8,500,100,10000,8,4,21,55
8,50,1,5,8,2,19,95
11,300,1,10000,10,1,30,60
10,300,10000,200,8,1,48,35
8,300,500,20,10,1,24,55
7,300,50,5,11,4,1,80
8,1000,20,50,8,1,63,60
8,100,5,200,7,4,30,75
8,20,100,50,9,2,40,75
10,10,1,20,7,2,2,90
11,50,10000,5,9,2,50,70
11,500,200,20,9,4,23,55
11,100,100,10000,8,2,10,65
11,100,10000,1000,11,1,11,50
11,10,200,200,11,3,6,65
11,50,20,50,9,2,22,80
7,100,5,1,9,1,12,85
8,0,10000,200,11,1,46,50
7,800,20,10,9,4,12,70
9,100,20,20,11,3,89,90
7,10,1,20,9,1,21,90
10,1000,1,10000,9,1,25,50
11,800,10000,5,7,1,10,45
10,10,1,200,10,3,83,85
8,50,500,10,10,3,14,75
7,800,1,50,7,3,16,70
11,300,20,10,11,4,29,85
8,10,5,1000,7,2,29,75
10,500,5,5,11,4,0,75
11,100,100,1000,8,3,41,65
11,20,1000,1000,9,1,12,50
8,500,100,10000,10,1,52,45
10,50,50,200,7,3,5,75
11,1000,10,200,10,4,2,55
9,200,5,10000,7,1,12,65
10,1000,10000,5,11,1,26,45
8,10,1,5,8,3,38,100
11,10,1000,200,8,3,24,55
11,1000,200,200,8,2,76,40
10,300,5,10000,8,2,31,65
11,10,200,10,7,2,46,75
9,500,20,5,9,3,49,85
10,200,20,1,8,1,73,85
11,20,5,1000,9,1,80,70
10,300,20,50,11,1,49,65
7,1000,100,1,11,2,39,65
10,0,100,1,9,1,45,80
9,10,50,10,11,1,26,85
10,200,500,10,10,3,22,70
8,300,500,5,8,3,99,65
11,0,100,10000,8,2,3,70
11,100,20,20,9,4,40,85
8,300,20,1,8,3,32,90
11,10,1,10000,10,4,4,75
8,200,1,10000,11,3,35,75
7,20,50,5,7,2,25,95
9,300,1000,50,9,4,17,50
11,0,100,10,7,4,25,85
7,200,10,1,10,2,21,90
9,1000,500,10,10,4,8,50
10,800,10,1000,7,4,12,55
10,200,5,10000,8,3,34,75
9,0,200,10000,11,4,81,60
8,10,50,20,7,1,14,85
10,800,10000,1,8,3,32,55
11,20,500,1,9,3,45,75
8,300,200,50,7,3,42,55
11,300,200,10,7,4,43,65
9,800,100,1000,11,3,46,50
11,300,100,50,9,4,18,60
10,500,1,5,7,3,47,80
11,100,5,200,10,4,23,75
8,200,50,10000,11,2,30,65
8,1000,1,50,11,3,42,65
7,300,50,10,10,3,20,85
9,0,1,1000,7,1,41,75
11,500,10000,20,11,1,23,50
10,200,1000,20,10,1,41,60
10,1000,10000,1,8,2,84,50
11,500,20,10,10,1,28,75
10,1000,50,5,10,3,26,75
8,10,20,1000,7,1,97,70
8,10,1,50,9,2,41,85
7,100,10000,50,10,4,5,55
7,20,100,10,9,1,15,80
11,1000,10,10000,7,2,15,55
10,100,100,1000,8,2,11,65
11,50,200,1,9,1,75,70
8,20,50,10,11,2,15,90
11,0,1000,10000,11,1,19,50
9,800,10000,50,8,1,17,35
7,10,10000,200,11,3,42,55
10,10,50,20,9,3,2,90
10,50,10000,5,9,1,28,65
9,200,100,10000,11,3,24,65
10,500,5,20,11,4,2,75
10,1000,50,5,8,4,43,70
7,300,10,5,7,4,40,85
11,20,1,10000,9,4,64,75
10,300,1000,200,11,4,20,40
9,500,500,10,8,2,55,55
11,1000,50,10000,9,1,42,45
7,100,10000,20,7,1,63,65
10,300,10000,50,9,4,81,45
10,500,100,20,11,3,5,70
7,300,20,50,11,2,12,70
8,1000,1,5,11,4,17,70
7,50,100,10,9,2,74,85
10,800,10000,20,7,4,29,45
11,20,1,20,11,2,27,95
9,10,5,1000,9,1,11,75
9,50,1000,1,9,2,52,75
9,300,100,5,9,1,13,75
11,10,1000,10,8,3,31,75
10,50,1,20,7,4,21,90
11,50,5,200,10,1,63,75
9,500,10000,200,11,1,48,35
11,200,500,200,7,1,27,45
10,1000,10000,20,7,1,44,40
9,300,1000,10,10,2,3,60
11,800,1,20,8,3,61,75
9,200,5,50,10,1,10,75
11,0,200,1000,9,4,14,60
9,10,100,10000,7,3,24,70
8,300,1,20,11,3,21,85
8,500,500,1000,7,3,24,40
11,10,1,10,7,4,25,95
10,10,500,10,11,3,0,75
10,50,5,50,9,1,30,80
9,10,20,1000,11,2,31,75
9,50,1000,10,9,4,18,70
7,1000,1000,10000,11,3,11,35
7,10,500,10000,9,1,10,50
7,800,1000,1000,9,3,67,35
11,100,50,1,10,3,58,90
10,0,1000,1,9,1,5,65
10,1000,50,1000,10,2,4,55
8,200,1000,5,9,4,80,60
10,10,10000,1000,7,3,40,55
9,10,100,200,9,4,69,70
11,50,100,10000,10,3,23,70
11,800,200,10000,7,4,9,35
11,50,5,1,10,2,24,95
11,20,100,20,7,2,5,80
11,200,100,10000,9,4,55,60
11,0,50,200,10,1,24,70
10,200,5,10000,7,3,50,75
8,500,10,10,11,1,52,75
10,0,10,1,10,3,67,100
7,1000,500,5,7,4,21,50
7,800,10,200,7,2,61,60
11,20,50,1,8,4,26,90
10,200,200,5,7,2,33,70
7,300,100,1000,7,4,8,60
10,0,10,200,10,4,14,80
8,300,100,1,7,2,49,75
9,300,100,10,7,1,33,70
9,200,20,5,8,1,2,80
8,0,10000,50,11,4,96,60
10,10,50,50,8,4,18,80
11,800,1000,50,10,4,58,40
9,100,200,20,10,2,35,70
8,300,10000,10000,7,1,93,35
8,300,200,20,11,4,57,60
10,0,200,1,11,3,54,80
11,500,100,5,9,3,11,70
11,100,100,5,9,2,41,80
10,0,5,10,7,3,35,100
9,10,50,5,10,1,53,90
8,300,1,1000,11,1,63,60
9,100,500,1,11,4,35,65
7,0,100,1,11,2,2,85
7,50,5,5,9,1,0,90
7,100,500,5,11,1,39,65
7,800,20,5,10,2,64,75
11,50,1,10,9,4,72,90
11,50,5,10000,7,2,45,75
8,20,1000,10,11,4,8,70
9,800,10,1,11,1,4,70
10,50,1000,200,8,2,38,55
10,0,5,20,9,1,14,90
8,500,100,50,7,2,66,60
7,10,20,1000,9,3,36,80
10,100,20,1000,9,1,22,70
10,500,50,10000,11,1,64,55
9,1000,500,20,11,3,30,50
8,1000,200,10,8,4,14,55
9,800,10000,20,7,1,51,40
8,800,5,1,8,2,26,80
11,300,50,10000,9,2,34,60
11,1000,500,20,10,2,3,45
7,10,1000,5,11,3,64,75
10,500,10000,5,8,3,4,55
9,200,1,10,11,4,55,85
9,200,1,10000,7,3,65,75
8,200,5,20,9,4,44,85
7,300,50,1000,9,3,38,65
9,100,10,50,8,2,38,80
9,200,10,10,11,1,43,85
7,200,50,50,8,4,20,75
10,500,100,5,11,4,69,65
10,1000,5,1000,9,4,61,55
10,800,500,50,8,2,49,40
7,20,50,5,9,1,17,85
11,800,500,20,7,4,73,45
11,500,500,50,8,1,32,40
11,0,1000,1,7,1,32,65
9,20,5,1000,8,1,21,70
9,20,1,50,7,1,3,80
11,50,5,10,8,1,44,90
8,500,10000,5,9,3,49,55
10,100,10000,1,11,2,13,65
9,20,200,20,8,4,12,70
7,100,1,5,7,1,56,90
10,100,100,1,10,1,14,80
9,800,20,1000,8,3,3,60
8,100,1,20,9,1,24,85
7,1000,20,5,8,2,29,70
7,800,100,1,10,4,97,65
10,100,1,10,8,1,58,85
7,50,10000,50,11,2,44,60
9,800,50,200,11,2,64,55
11,800,50,10000,10,3,10,55
7,100,500,1,10,2,24,70
9,100,20,20,11,2,30,90
7,200,5,1000,11,1,38,65
8,200,200,1,8,2,10,75
8,1000,100,20,10,1,28,55
7,200,10,10,8,4,41,85
8,300,100,10,10,4,46,70
8,10,20,20,8,1,52,90
7,100,10,1000,9,3,5,75
11,50,100,5,9,4,20,80
9,300,20,50,10,3,0,75
9,100,1000,10000,9,1,75,50
9,800,1,10000,7,1,69,50
8,10,10,50,10,1,66,80
10,20,10000,5,8,4,25,70
11,50,20,1000,10,1,1,70
7,800,5,1,11,1,69,70
10,100,10,1,8,1,26,85
9,800,200,1,10,1,12,50
11,10,1,200,10,4,62,75
11,300,10,200,7,2,6,65
7,1000,500,10,8,4,61,50
9,0,1000,50,10,4,20,60
7,10,1000,1,8,2,55,70
11,1000,1000,1000,8,2,54,30
10,300,200,1,9,3,21,70
10,200,20,10,8,1,28,80
7,200,1000,50,8,1,96,50
11,800,100,50,8,2,13,55
11,800,5,50,7,2,30,65
9,500,20,1,9,1,84,75
